obj_key,attr_key
0,petal length (cm)<=2
0,petal length (cm)<=5
0,petal width (cm)<=1.7
1,petal length (cm)>=2
1,petal length (cm)<=5
1,petal width (cm)<=1.7
2,petal length (cm)>=2
2,petal length (cm)<=5
2,petal width (cm)>=1.7
3,petal length (cm)>=2
3,petal length (cm)>=5
3,petal length (cm)<=5
3,petal width (cm)>=1.7
3,petal width (cm)<=1.7
4,petal length (cm)>=2
4,petal length (cm)>=5
4,petal width (cm)<=1.7
5,petal length (cm)>=2
5,petal length (cm)>=5
5,petal width (cm)>=1.7
6,petal length (cm)>=2
6,petal length (cm)<=5
6,petal width (cm)>=1.7
6,petal width (cm)<=1.7
7,petal length (cm)>=2
7,petal length (cm)>=5
7,petal length (cm)<=5
7,petal width (cm)>=1.7
8,petal length (cm)>=2
8,petal length (cm)>=5
8,petal length (cm)<=5
8,petal width (cm)<=1.7
